,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
12,6636,Polkadot,DOT,polkadot-new,725,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1426722820.0108736,1426722820.0108736,True,,13,,,,2024-03-27T16:42:00.000Z,9.452980737218969,366870572.58519965,6.6049,-0.48301405,-2.17250423,8.72331445,17.74662685,41.21792118,11.91383695,13486783334.913513,0.5173,13486783334.91,,2024-03-27T16:42:00.000Z,,,,,,2024-03-27 16:42:47.559388
13,1975,Chainlink,LINK,chainlink,1704,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-27T16:41:00.000Z,19.23197558583649,484878077.824483,-15.7472,-0.54033222,-2.9287584,13.97598329,1.16849699,34.32031296,18.10535589,11291092298.19332,0.4334,19231975585.84,,2024-03-27T16:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-03-27 16:42:47.559388
14,1831,Bitcoin Cash,BCH,bitcoin-cash,867,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19680662.5,19680662.5,False,,15,,,,2024-03-27T16:41:00.000Z,537.7214434990152,1304029421.351601,109.1295,0.75086309,14.34468243,46.97624891,98.38628684,120.24123197,97.80571008,10582714248.516937,0.4062,11292150313.48,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:47.559388
0,1,Bitcoin,BTC,bitcoin,10943,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19665793.0,19665793.0,False,,1,,,,2024-03-27T16:42:00.000Z,69136.21809769272,39768602351.88241,-2.4158,-0.23532233,-0.7196813,9.70401302,29.6659692,65.3148744,62.78730247,1359618553912.0789,52.1447,1451860580051.55,,2024-03-27T16:42:00.000Z,,,,,,2024-03-27 16:42:47.559388
1,1027,Ethereum,ETH,ethereum,8659,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120073215.06618808,120073215.06618808,True,,2,,,,2024-03-27T16:41:00.000Z,3515.831197455318,18662811582.88492,-8.7708,-0.53904738,-1.14847977,8.93333544,11.49230734,54.88180947,48.23809388,422157155508.466,16.2057,422157155508.47,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:47.559388
2,825,Tether USDt,USDT,tether,80394,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,104362092743.91322,107792615137.11449,True,,3,,,,2024-03-27T16:41:00.000Z,0.9996492502994382,83401263946.4729,-0.1447,0.01547649,-0.05990728,-0.01818532,-0.03816512,-0.04407193,-0.0660119,104325487771.13329,4.0048,107754806909.63,,2024-03-27T16:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-27 16:42:47.559388
3,1839,BNB,BNB,bnb,2124,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149536578.750498,149536578.750498,False,,4,,,,2024-03-27T16:41:00.000Z,570.213249379004,2022379974.6566563,-5.2339,-0.43031907,-0.75028575,11.04032096,43.46969062,87.92653675,72.50614892,85267738470.34077,3.2732,85267738470.34,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:47.559388
4,5426,Solana,SOL,solana,649,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,444305134.57941896,572747287.0651139,True,,5,,,,2024-03-27T16:41:00.000Z,182.59244926089139,3964551621.083739,9.494,-0.08801609,-2.70909013,8.89791805,71.76291934,96.58747723,84.2789544,81126762742.04608,3.114,104579329952.75,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:47.559388
5,52,XRP,XRP,xrp,1279,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54884241878.0,99987762348.0,False,,6,,,,2024-03-27T16:42:00.000Z,0.6135389051653662,2034151746.356095,-7.2373,-0.42584482,-2.39480327,6.67005076,12.6020254,15.6668175,-2.74012908,33673617672.659264,1.2915,61353890516.54,,2024-03-27T16:42:00.000Z,,,,,,2024-03-27 16:42:47.559388
6,3408,USDC,USDC,usd-coin,17676,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,32159134237.55799,32159134237.55799,False,,7,,,,2024-03-27T16:41:00.000Z,1.0000862216011879,10011400804.306082,17.7332,0.01070464,0.0009956,0.01509017,0.03067007,-0.01854291,-0.01126894,32161907049.60477,1.2335,32161907049.6,,2024-03-27T16:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-27 16:42:47.559388
7,74,Dogecoin,DOGE,dogecoin,939,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143641486383.7052,143641486383.7052,True,,8,,,,2024-03-27T16:42:00.000Z,0.18744526245219167,3685069039.966409,25.6412,-1.31824073,6.44462464,44.98764473,115.24221388,134.97203777,104.55663786,26924916114.216537,1.0326,26924916114.22,,2024-03-27T16:42:00.000Z,,,,,,2024-03-27 16:42:47.559388
8,2010,Cardano,ADA,cardano,1120,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35578755767.077,36742818378.514,False,,9,,,,2024-03-27T16:41:00.000Z,0.6369657674599057,634831805.9437476,-2.0545,-0.54682741,-2.93968083,8.85153969,4.54022367,31.17294728,2.99245252,22662449472.44475,0.87,28663459535.7,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:47.559388
9,5805,Avalanche,AVAX,avalanche,695,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377416536.4228908,436106176.4228908,False,,10,,,,2024-03-27T16:41:00.000Z,53.83618921949655,923520494.4205419,4.7974,0.07168615,-3.52871798,5.08312114,39.19075643,65.2857062,34.34201479,20318668069.42976,0.78,38533183469.7,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:47.559388
10,5994,Shiba Inu,SHIB,shiba-inu,779,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-03-27T16:41:00.000Z,3.011363606046006e-05,1759800903.2398865,-13.677,-0.19914355,1.14766617,20.91426704,208.30013184,231.19459526,184.17928715,17745646851.496315,0.6812,17753014925.83,,2024-03-27T16:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-03-27 16:42:47.559388
11,11419,Toncoin,TON,toncoin,238,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3470254095.612686,5104666595.375751,True,,12,3414166606.0,17014858167.225515,,2024-03-27T16:41:00.000Z,4.983605116787179,225140192.21240035,-23.541,0.39814967,-1.23699402,20.59513429,133.39524417,139.89115942,122.87086631,17294376067.44705,0.6642,25439642564.21,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:47.559388
12,6636,Polkadot,DOT,polkadot-new,725,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1426722820.0108736,1426722820.0108736,True,,13,,,,2024-03-27T16:42:00.000Z,9.452980737218969,366870572.58519965,6.6049,-0.48301405,-2.17250423,8.72331445,17.74662685,41.21792118,11.91383695,13486783334.913513,0.5173,13486783334.91,,2024-03-27T16:42:00.000Z,,,,,,2024-03-27 16:42:47.559388
13,1975,Chainlink,LINK,chainlink,1704,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-27T16:41:00.000Z,19.23197558583649,484878077.824483,-15.7472,-0.54033222,-2.9287584,13.97598329,1.16849699,34.32031296,18.10535589,11291092298.19332,0.4334,19231975585.84,,2024-03-27T16:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-03-27 16:42:47.559388
14,1831,Bitcoin Cash,BCH,bitcoin-cash,867,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19680662.5,19680662.5,False,,15,,,,2024-03-27T16:41:00.000Z,537.7214434990152,1304029421.351601,109.1295,0.75086309,14.34468243,46.97624891,98.38628684,120.24123197,97.80571008,10582714248.516937,0.4062,11292150313.48,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:47.559388
0,1,Bitcoin,BTC,bitcoin,10943,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19665793.0,19665793.0,False,,1,,,,2024-03-27T16:42:00.000Z,69136.21809769272,39768602351.88241,-2.4158,-0.23532233,-0.7196813,9.70401302,29.6659692,65.3148744,62.78730247,1359618553912.0789,52.1447,1451860580051.55,,2024-03-27T16:42:00.000Z,,,,,,2024-03-27 16:42:53.073330
1,1027,Ethereum,ETH,ethereum,8659,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120073215.06618808,120073215.06618808,True,,2,,,,2024-03-27T16:41:00.000Z,3515.831197455318,18662811582.88492,-8.7708,-0.53904738,-1.14847977,8.93333544,11.49230734,54.88180947,48.23809388,422157155508.466,16.2057,422157155508.47,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:53.073330
2,825,Tether USDt,USDT,tether,80394,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,104362092743.91322,107792615137.11449,True,,3,,,,2024-03-27T16:41:00.000Z,0.9996492502994382,83401263946.4729,-0.1447,0.01547649,-0.05990728,-0.01818532,-0.03816512,-0.04407193,-0.0660119,104325487771.13329,4.0048,107754806909.63,,2024-03-27T16:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-27 16:42:53.073330
3,1839,BNB,BNB,bnb,2124,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149536578.750498,149536578.750498,False,,4,,,,2024-03-27T16:41:00.000Z,570.213249379004,2022379974.6566563,-5.2339,-0.43031907,-0.75028575,11.04032096,43.46969062,87.92653675,72.50614892,85267738470.34077,3.2732,85267738470.34,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:53.073330
4,5426,Solana,SOL,solana,649,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,444305134.57941896,572747287.0651139,True,,5,,,,2024-03-27T16:41:00.000Z,182.59244926089139,3964551621.083739,9.494,-0.08801609,-2.70909013,8.89791805,71.76291934,96.58747723,84.2789544,81126762742.04608,3.114,104579329952.75,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:53.073330
5,52,XRP,XRP,xrp,1279,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54884241878.0,99987762348.0,False,,6,,,,2024-03-27T16:42:00.000Z,0.6135389051653662,2034151746.356095,-7.2373,-0.42584482,-2.39480327,6.67005076,12.6020254,15.6668175,-2.74012908,33673617672.659264,1.2915,61353890516.54,,2024-03-27T16:42:00.000Z,,,,,,2024-03-27 16:42:53.073330
6,3408,USDC,USDC,usd-coin,17676,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,32159134237.55799,32159134237.55799,False,,7,,,,2024-03-27T16:41:00.000Z,1.0000862216011879,10011400804.306082,17.7332,0.01070464,0.0009956,0.01509017,0.03067007,-0.01854291,-0.01126894,32161907049.60477,1.2335,32161907049.6,,2024-03-27T16:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-27 16:42:53.073330
7,74,Dogecoin,DOGE,dogecoin,939,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143641486383.7052,143641486383.7052,True,,8,,,,2024-03-27T16:42:00.000Z,0.18744526245219167,3685069039.966409,25.6412,-1.31824073,6.44462464,44.98764473,115.24221388,134.97203777,104.55663786,26924916114.216537,1.0326,26924916114.22,,2024-03-27T16:42:00.000Z,,,,,,2024-03-27 16:42:53.073330
8,2010,Cardano,ADA,cardano,1120,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35578755767.077,36742818378.514,False,,9,,,,2024-03-27T16:41:00.000Z,0.6369657674599057,634831805.9437476,-2.0545,-0.54682741,-2.93968083,8.85153969,4.54022367,31.17294728,2.99245252,22662449472.44475,0.87,28663459535.7,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:53.073330
9,5805,Avalanche,AVAX,avalanche,695,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377416536.4228908,436106176.4228908,False,,10,,,,2024-03-27T16:41:00.000Z,53.83618921949655,923520494.4205419,4.7974,0.07168615,-3.52871798,5.08312114,39.19075643,65.2857062,34.34201479,20318668069.42976,0.78,38533183469.7,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:53.073330
10,5994,Shiba Inu,SHIB,shiba-inu,779,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-03-27T16:41:00.000Z,3.011363606046006e-05,1759800903.2398865,-13.677,-0.19914355,1.14766617,20.91426704,208.30013184,231.19459526,184.17928715,17745646851.496315,0.6812,17753014925.83,,2024-03-27T16:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-03-27 16:42:53.073330
11,11419,Toncoin,TON,toncoin,238,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3470254095.612686,5104666595.375751,True,,12,3414166606.0,17014858167.225515,,2024-03-27T16:41:00.000Z,4.983605116787179,225140192.21240035,-23.541,0.39814967,-1.23699402,20.59513429,133.39524417,139.89115942,122.87086631,17294376067.44705,0.6642,25439642564.21,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:53.073330
12,6636,Polkadot,DOT,polkadot-new,725,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1426722820.0108736,1426722820.0108736,True,,13,,,,2024-03-27T16:42:00.000Z,9.452980737218969,366870572.58519965,6.6049,-0.48301405,-2.17250423,8.72331445,17.74662685,41.21792118,11.91383695,13486783334.913513,0.5173,13486783334.91,,2024-03-27T16:42:00.000Z,,,,,,2024-03-27 16:42:53.073330
13,1975,Chainlink,LINK,chainlink,1704,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-27T16:41:00.000Z,19.23197558583649,484878077.824483,-15.7472,-0.54033222,-2.9287584,13.97598329,1.16849699,34.32031296,18.10535589,11291092298.19332,0.4334,19231975585.84,,2024-03-27T16:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-03-27 16:42:53.073330
14,1831,Bitcoin Cash,BCH,bitcoin-cash,867,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19680662.5,19680662.5,False,,15,,,,2024-03-27T16:41:00.000Z,537.7214434990152,1304029421.351601,109.1295,0.75086309,14.34468243,46.97624891,98.38628684,120.24123197,97.80571008,10582714248.516937,0.4062,11292150313.48,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:53.073330
